repo;metric;value
IBM/ibm-cos-sdk-java-config;PropertiesContainsVersionCount;0
IBM/ibmcloud-cfenv-processors;ProfilesCount;1
IBM/ibmcloud-cfenv-processors;ContainsReleaseCount;1
IBM/ibmcloud-cfenv-processors;ContainsPropertiesCount;0
IBM/ibmcloud-cfenv-processors;ContainsActivationCount;0
IBM/ibmcloud-cfenv-processors;ContainsTestsCount;0
IBM/ibmcloud-cfenv-processors;ContainsDevCount;0
IBM/ibmcloud-cfenv-processors;ContainsProdCount;0
IBM/ibmcloud-cfenv-processors;PropertiesContainsVersionCount;0
IBM/icpa-jee-tutorial;ProfilesCount;0
IBM/icpa-jee-tutorial;ContainsReleaseCount;0
IBM/icpa-jee-tutorial;ContainsPropertiesCount;0
IBM/icpa-jee-tutorial;ContainsActivationCount;0
IBM/icpa-jee-tutorial;ContainsTestsCount;0
IBM/icpa-jee-tutorial;ContainsDevCount;0
IBM/icpa-jee-tutorial;ContainsProdCount;0
IBM/icpa-jee-tutorial;PropertiesContainsVersionCount;0
IBM/java-async-util;ProfilesCount;1
IBM/java-async-util;ContainsReleaseCount;1
IBM/java-async-util;ContainsPropertiesCount;0
IBM/java-async-util;ContainsActivationCount;0
IBM/java-async-util;ContainsTestsCount;0
IBM/java-async-util;ContainsDevCount;0
IBM/java-async-util;ContainsProdCount;0
IBM/java-async-util;PropertiesContainsVersionCount;0
IBM/kafka-eventing-spring-boot-starter;ProfilesCount;1
IBM/kafka-eventing-spring-boot-starter;ContainsReleaseCount;1
IBM/kafka-eventing-spring-boot-starter;ContainsPropertiesCount;0
IBM/kafka-eventing-spring-boot-starter;ContainsActivationCount;0
IBM/kafka-eventing-spring-boot-starter;ContainsTestsCount;0
IBM/kafka-eventing-spring-boot-starter;ContainsDevCount;0
IBM/kafka-eventing-spring-boot-starter;ContainsProdCount;0
IBM/kafka-eventing-spring-boot-starter;PropertiesContainsVersionCount;0
IBM/microprofile-meeting-concurrency;ProfilesCount;1
IBM/microprofile-meeting-concurrency;ContainsReleaseCount;0
IBM/microprofile-meeting-concurrency;ContainsPropertiesCount;1
IBM/microprofile-meeting-concurrency;ContainsActivationCount;1
IBM/microprofile-meeting-concurrency;ContainsTestsCount;1
IBM/microprofile-meeting-concurrency;ContainsDevCount;0
IBM/microprofile-meeting-concurrency;ContainsProdCount;0
IBM/microprofile-meeting-concurrency;PropertiesContainsVersionCount;0
IBM/microprofile-meeting-persistence;ProfilesCount;1
IBM/microprofile-meeting-persistence;ContainsReleaseCount;0
IBM/microprofile-meeting-persistence;ContainsPropertiesCount;1
IBM/microprofile-meeting-persistence;ContainsActivationCount;1
IBM/microprofile-meeting-persistence;ContainsTestsCount;1
IBM/microprofile-meeting-persistence;ContainsDevCount;0
IBM/microprofile-meeting-persistence;ContainsProdCount;0
IBM/microprofile-meeting-persistence;PropertiesContainsVersionCount;0
IBM/microprofile-meeting-websockets;ProfilesCount;1
IBM/microprofile-meeting-websockets;ContainsReleaseCount;0
IBM/microprofile-meeting-websockets;ContainsPropertiesCount;1
IBM/microprofile-meeting-websockets;ContainsActivationCount;1
IBM/microprofile-meeting-websockets;ContainsTestsCount;1
IBM/microprofile-meeting-websockets;ContainsDevCount;0
IBM/microprofile-meeting-websockets;ContainsProdCount;0
IBM/microprofile-meeting-websockets;PropertiesContainsVersionCount;0
JetBrains/TeamCity.VsOnline.WorkItems;ProfilesCount;1
JetBrains/TeamCity.VsOnline.WorkItems;ContainsReleaseCount;0
JetBrains/TeamCity.VsOnline.WorkItems;ContainsPropertiesCount;1
JetBrains/TeamCity.VsOnline.WorkItems;ContainsActivationCount;1
JetBrains/TeamCity.VsOnline.WorkItems;ContainsTestsCount;0
JetBrains/TeamCity.VsOnline.WorkItems;ContainsDevCount;1
JetBrains/TeamCity.VsOnline.WorkItems;ContainsProdCount;0
JetBrains/TeamCity.VsOnline.WorkItems;PropertiesContainsVersionCount;1
JetBrains/intellij-deps-ini4j;ProfilesCount;1
JetBrains/intellij-deps-ini4j;ContainsReleaseCount;1
JetBrains/intellij-deps-ini4j;ContainsPropertiesCount;0
JetBrains/intellij-deps-ini4j;ContainsActivationCount;1
JetBrains/intellij-deps-ini4j;ContainsTestsCount;0
JetBrains/intellij-deps-ini4j;ContainsDevCount;0
JetBrains/intellij-deps-ini4j;ContainsProdCount;0
JetBrains/intellij-deps-ini4j;PropertiesContainsVersionCount;0
JetBrains/java-mission-control;ProfilesCount;1
JetBrains/java-mission-control;ContainsReleaseCount;0
JetBrains/java-mission-control;ContainsPropertiesCount;0
JetBrains/java-mission-control;ContainsActivationCount;1
JetBrains/java-mission-control;ContainsTestsCount;0
JetBrains/java-mission-control;ContainsDevCount;0
JetBrains/java-mission-control;ContainsProdCount;0
JetBrains/java-mission-control;PropertiesContainsVersionCount;0
JetBrains/teamcity-bitbucket-issues;ProfilesCount;1
JetBrains/teamcity-bitbucket-issues;ContainsReleaseCount;0
JetBrains/teamcity-bitbucket-issues;ContainsPropertiesCount;1
JetBrains/teamcity-bitbucket-issues;ContainsActivationCount;1
JetBrains/teamcity-bitbucket-issues;ContainsTestsCount;0
JetBrains/teamcity-bitbucket-issues;ContainsDevCount;1
JetBrains/teamcity-bitbucket-issues;ContainsProdCount;0
JetBrains/teamcity-bitbucket-issues;PropertiesContainsVersionCount;1
JetBrains/teamcity-deployer-plugin;ProfilesCount;1
JetBrains/teamcity-deployer-plugin;ContainsReleaseCount;0
JetBrains/teamcity-deployer-plugin;ContainsPropertiesCount;1
JetBrains/teamcity-deployer-plugin;ContainsActivationCount;1
JetBrains/teamcity-deployer-plugin;ContainsTestsCount;0
JetBrains/teamcity-deployer-plugin;ContainsDevCount;0
JetBrains/teamcity-deployer-plugin;ContainsProdCount;0
JetBrains/teamcity-deployer-plugin;PropertiesContainsVersionCount;0
JetBrains/teamcity-github-issues;ProfilesCount;1
JetBrains/teamcity-github-issues;ContainsReleaseCount;0
JetBrains/teamcity-github-issues;ContainsPropertiesCount;1
JetBrains/teamcity-github-issues;ContainsActivationCount;1
JetBrains/teamcity-github-issues;ContainsTestsCount;0
JetBrains/teamcity-github-issues;ContainsDevCount;1
JetBrains/teamcity-github-issues;ContainsProdCount;0
JetBrains/teamcity-github-issues;PropertiesContainsVersionCount;1
SAP/cf-java-client-sap;ProfilesCount;1
SAP/cf-java-client-sap;ContainsReleaseCount;1
SAP/cf-java-client-sap;ContainsPropertiesCount;0
SAP/cf-java-client-sap;ContainsActivationCount;1
SAP/cf-java-client-sap;ContainsTestsCount;0
SAP/cf-java-client-sap;ContainsDevCount;0
SAP/cf-java-client-sap;ContainsProdCount;0
SAP/cf-java-client-sap;PropertiesContainsVersionCount;0
SAP/cf-java-logging-support;ProfilesCount;1
SAP/cf-java-logging-support;ContainsReleaseCount;0
SAP/cf-java-logging-support;ContainsPropertiesCount;0
SAP/cf-java-logging-support;ContainsActivationCount;0
SAP/cf-java-logging-support;ContainsTestsCount;0
SAP/cf-java-logging-support;ContainsDevCount;0
SAP/cf-java-logging-support;ContainsProdCount;0
SAP/cf-java-logging-support;PropertiesContainsVersionCount;0
SAP/clm-sl-alert-notification-client;ProfilesCount;1
SAP/clm-sl-alert-notification-client;ContainsReleaseCount;1
SAP/clm-sl-alert-notification-client;ContainsPropertiesCount;0
SAP/clm-sl-alert-notification-client;ContainsActivationCount;0
SAP/clm-sl-alert-notification-client;ContainsTestsCount;0
SAP/clm-sl-alert-notification-client;ContainsDevCount;0
SAP/clm-sl-alert-notification-client;ContainsProdCount;0
SAP/clm-sl-alert-notification-client;PropertiesContainsVersionCount;0
SAP/cloud-language-servers-container;ProfilesCount;1
SAP/cloud-language-servers-container;ContainsReleaseCount;0
SAP/cloud-language-servers-container;ContainsPropertiesCount;0
SAP/cloud-language-servers-container;ContainsActivationCount;0
SAP/cloud-language-servers-container;ContainsTestsCount;1
SAP/cloud-language-servers-container;ContainsDevCount;0
SAP/cloud-language-servers-container;ContainsProdCount;0
SAP/cloud-language-servers-container;PropertiesContainsVersionCount;0
SAP/cloud-neo-api-client;ProfilesCount;1
SAP/cloud-neo-api-client;ContainsReleaseCount;1
SAP/cloud-neo-api-client;ContainsPropertiesCount;0
SAP/cloud-neo-api-client;ContainsActivationCount;1
SAP/cloud-neo-api-client;ContainsTestsCount;1
SAP/cloud-neo-api-client;ContainsDevCount;0
SAP/cloud-neo-api-client;ContainsProdCount;0
SAP/cloud-neo-api-client;PropertiesContainsVersionCount;0
SAP/cloud-odata-java;ProfilesCount;1
SAP/cloud-odata-java;ContainsReleaseCount;1
SAP/cloud-odata-java;ContainsPropertiesCount;0
SAP/cloud-odata-java;ContainsActivationCount;0
SAP/cloud-odata-java;ContainsTestsCount;0
SAP/cloud-odata-java;ContainsDevCount;0
SAP/cloud-odata-java;ContainsProdCount;0
SAP/cloud-odata-java;PropertiesContainsVersionCount;0
SAP/cloud-rest-api-client;ProfilesCount;1
SAP/cloud-rest-api-client;ContainsReleaseCount;1
SAP/cloud-rest-api-client;ContainsPropertiesCount;0
SAP/cloud-rest-api-client;ContainsActivationCount;1
SAP/cloud-rest-api-client;ContainsTestsCount;1
SAP/cloud-rest-api-client;ContainsDevCount;0
SAP/cloud-rest-api-client;ContainsProdCount;0
SAP/cloud-rest-api-client;PropertiesContainsVersionCount;0
SAP/cloud-security-xsuaa-integration;ProfilesCount;1
SAP/cloud-security-xsuaa-integration;ContainsReleaseCount;1
SAP/cloud-security-xsuaa-integration;ContainsPropertiesCount;0
SAP/cloud-security-xsuaa-integration;ContainsActivationCount;1
SAP/cloud-security-xsuaa-integration;ContainsTestsCount;0
SAP/cloud-security-xsuaa-integration;ContainsDevCount;0
SAP/cloud-security-xsuaa-integration;ContainsProdCount;0
SAP/cloud-security-xsuaa-integration;PropertiesContainsVersionCount;0
SAP/devops-cm-client;ProfilesCount;1
SAP/devops-cm-client;ContainsReleaseCount;0
