name,url,default_branch,stars
scotch-io/pomodoro-on-the-rocks,https://github.com/scotch-io/pomodoro-on-the-rocks,master,15
stevenocchipinti/pomodoro,https://github.com/stevenocchipinti/pomodoro,master,15
JuliaPOMDP/POMCPOW.jl,https://github.com/JuliaPOMDP/POMCPOW.jl,master,15
GeorgePik/POMCP,https://github.com/GeorgePik/POMCP,master,15
licoliu/pomy,https://github.com/licoliu/pomy,develop,15
phux/pomogoro,https://github.com/phux/pomogoro,master,15
jenkinsci/semantic-versioning-plugin,https://github.com/jenkinsci/semantic-versioning-plugin,master,15
workframers/garamond,https://github.com/workframers/garamond,master,15
andriusvelykis/pde-target-maven-plugin,https://github.com/andriusvelykis/pde-target-maven-plugin,master,15
ashrithr/storm-helloworld,https://github.com/ashrithr/storm-helloworld,master,14
132982jianan/fishserver-pomelo,https://github.com/132982jianan/fishserver-pomelo,master,14
NettaB/reactive-pomodoro,https://github.com/NettaB/reactive-pomodoro,master,14
JuliaPOMDP/BasicPOMCP.jl,https://github.com/JuliaPOMDP/BasicPOMCP.jl,master,14
itenyh/pomelo_admin_web_glue,https://github.com/itenyh/pomelo_admin_web_glue,master,14
abo-abo/gtk-pomodoro-indicator,https://github.com/abo-abo/gtk-pomodoro-indicator,master,14
lastnpe/eclipse-external-annotations-m2e-plugin,https://github.com/lastnpe/eclipse-external-annotations-m2e-plugin,master,14
Viascom/hipchat-api,https://github.com/Viascom/hipchat-api,develop,14
kqr/Pomohoro,https://github.com/kqr/Pomohoro,master,14
fritzo/pomagma,https://github.com/fritzo/pomagma,master,14
brunobord/pomodorock,https://github.com/brunobord/pomodorock,gh-pages,14
dcarter/Google-Data-APIs-Mavenized,https://github.com/dcarter/Google-Data-APIs-Mavenized,master,14
kdaghari/pomotroid,https://github.com/kdaghari/pomotroid,master,14
homeaway/pom-loader,https://github.com/homeaway/pom-loader,master,14
verygoodwlk/wechat_pom,https://github.com/verygoodwlk/wechat_pom,master,14
MIFind/PomodoroClock,https://github.com/MIFind/PomodoroClock,master,13
pomelo-unofficial/PomeloClient-iOS-WebSocket,https://github.com/pomelo-unofficial/PomeloClient-iOS-WebSocket,master,13
intuit/node-pom-parser,https://github.com/intuit/node-pom-parser,master,13
AmolLearning/SampleSeleniumPOMFramework,https://github.com/AmolLearning/SampleSeleniumPOMFramework,master,13
PragTob/pomodoro_tracker,https://github.com/PragTob/pomodoro_tracker,master,13
egil/pomodoro-timer,https://github.com/egil/pomodoro-timer,master,13
ftonato/pomodoro-app,https://github.com/ftonato/pomodoro-app,master,13
pabluk/Pomodoro,https://github.com/pabluk/Pomodoro,master,13
amandeepmittal/rn-pomodoro-example,https://github.com/amandeepmittal/rn-pomodoro-example,master,13
lessu/pomelo-node-client-websocket,https://github.com/lessu/pomelo-node-client-websocket,master,13
Matt-Deacalion/Pomodoro-Calculator,https://github.com/Matt-Deacalion/Pomodoro-Calculator,master,13
surprisetalk/pommy,https://github.com/surprisetalk/pommy,master,13
gingivitis/i3-pomodoro,https://github.com/gingivitis/i3-pomodoro,master,13
bhavikbpatel/SeleniumPageFactoryFramework,https://github.com/bhavikbpatel/SeleniumPageFactoryFramework,master,13
springinpractice/sip-top,https://github.com/springinpractice/sip-top,master,12
JuliaPOMDP/POMDPModels.jl,https://github.com/JuliaPOMDP/POMDPModels.jl,master,12
NetEase/pomelo-rpc-zeromq,https://github.com/NetEase/pomelo-rpc-zeromq,master,12
release-engineering/pom-version-manipulator,https://github.com/release-engineering/pom-version-manipulator,master,12
NetEase/pomelo-sync-plugin,https://github.com/NetEase/pomelo-sync-plugin,master,12
zyongjava/pomelo,https://github.com/zyongjava/pomelo,master,12
vsls-contrib/pomodoro,https://github.com/vsls-contrib/pomodoro,master,12
jzsues/pomelo-websocket-android-client,https://github.com/jzsues/pomelo-websocket-android-client,master,12
bengsfort/pomodoro-osx,https://github.com/bengsfort/pomodoro-osx,master,12
jonspeicher/Pomade,https://github.com/jonspeicher/Pomade,master,12
HackPlan/pomo-mailer,https://github.com/HackPlan/pomo-mailer,master,12
edelprino/pom,https://github.com/edelprino/pom,master,12
IanDarwin/date4j,https://github.com/IanDarwin/date4j,master,12
smartics/smartics-jboss-modules-maven-plugin,https://github.com/smartics/smartics-jboss-modules-maven-plugin,master,12
Yahhi/pomodoro_on_flutter,https://github.com/Yahhi/pomodoro_on_flutter,master,12
dima/pomodo_on_gae,https://github.com/dima/pomodo_on_gae,master,12
juliengrenier/pebble-pomodoro,https://github.com/juliengrenier/pebble-pomodoro,master,12
FidelisClayton/elm-pomodoro,https://github.com/FidelisClayton/elm-pomodoro,master,12
Cu7ious/React-n-Redux-Pomodoro-Clock,https://github.com/Cu7ious/React-n-Redux-Pomodoro-Clock,master,12
Philon/PompaDroid,https://github.com/Philon/PompaDroid,master,11
