TITLE;ISSUE_ID;LOGS;COMMITS;ASSIGNES;COMMENTS;OPEN
Get an error after updateting zone.js from 0.11.1 to 0.11.2;40518;1;0;1;1;0
Sanitizer is injected as null when Ivy is enabled;40627;0;0;0;2;0
Proposal: Provide Component Lifecycle Hooks as Observables;10185;0;4;0;17;1
DatePipe treats ISO-8601 YYYY-MM format as a date-time and adds timezone;33944;0;6;0;7;0
Class binding is not working with custom key names;35851;0;0;0;3;0
Proposal - use initial empty value for async pipe as undefined rather than null;16982;0;3;0;33;0
FormGroup.getRawValue() or patchValue() translates value undefined of a field to value null;40608;0;0;0;5;0
Attaching a jQuery event handler triggers change detection for that event for every element;40606;0;0;0;4;0
"Allow string to be passed as parameter in ""params"" in HttpClient methods";20316;0;6;0;3;0
Add a reference about disabling/enabling a form control on setValue section;25030;0;0;1;3;1
Raw params string is not accepted by HttpClient and HttpRequest;18403;0;0;0;2;0
"Export a list of ""human readable"" HTTP status codes";23543;0;4;0;9;0
EMPTY_ARRAY used for identity checks  but multiple are declared in core;28229;0;0;0;2;0
onSameUrlNavigation doesn't re-load routed components;21115;0;0;0;81;1
Template parser produces wrong locations for HTML self-closing tags;39148;1;6;1;0;0
Missing Angular Transclusion in the docs;40260;0;0;0;2;0
MODULE_INITIALIZER like APP_INITIALIZER ;17606;0;0;0;63;1
forRoot() is called twice when imported in app-module (with Ivy only);38376;0;0;0;3;1
Do not trigger change detection in $http responses when useApplyAsync is enabled;17975;0;0;0;8;0
SharedStylesHost isn't cleaning up styles between Karma test specs;31834;0;7;2;8;1
Library distribution with compilationMode: partial error;40514;1;0;0;3;0
Can't use large RegExp as pattern validator;40589;1;0;0;8;0
Proposal: computed properties;20472;0;0;0;42;1
Async guards should have the option to wait for previous guards to finish;40577;0;0;0;2;1
Problem with Tour of heroes app for Angular 9 [solved];40268;1;0;0;2;0
Docs: Add 'Adding reactivity' section to 'Try It' in the 'Getting Started' guide;40275;0;0;0;2;1
Static ViewChild is intermittently undefined on first ngOnChanges;40547;0;0;0;3;1
DefaultIterableDiffer should keep the order of duplicates;23815;0;5;0;2;0
ViewEncapsulation.Emulated and validator.w3.org html validity results;25355;0;0;1;13;0
App Shell stops building when using a timer in an NgRx effect;40564;0;0;0;6;0
docs: Missing code sample in Basics of testing components;40558;0;3;2;3;0
The canDeactivate guard is called with a null component ;40545;0;0;0;4;0
strictTemplates not working with *ngFor;40576;1;0;0;5;0
Emulated view encapsulation attribute selectors are extremely slow in IE11;31033;0;0;1;3;0
"[BUG]: ""export 'ɵɵstaticViewQuery' was not found in '@angular/core' and ASSERTION ERROR: Expecting flags [Expected=> number === boolean <=Actual]";40574;1;0;0;5;0
Structural Directive's provides are no longer available in template as of Angular 4.0;15998;0;0;0;18;1
:enter animation .done callback gets triggered on element destroy;40186;0;0;0;2;0
writeValue called before ngOnInit in nested ControlValueAccessors with initial form data;40209;0;0;0;0;1
Improve documentation of behavior for ngFor's trackBy;40461;0;0;1;11;1
Cannot determine if animation player has started;40472;0;0;0;0;1
11.1.0 issue worked in 10.0.9 Dependency injection will not be able to resolve the parameters of FieldArrayType's constructor.;40532;1;0;1;4;0
FormGroup.patchValue should ignore null arrays;21021;0;5;0;13;0
Form patchValue method throws unnecessary error;36672;1;1;0;7;0
"regression ""Cannot read property 'registerOnChange' of null at cleanUpControl"" / ""Error during cleanup of component""";40521;1;4;1;7;0
