TITLE,ISSUE_ID,LOGS,COMMITS,ASSIGNES,COMMENTS
Using `{{` and `}}` in strings in templates breaks the compiler,40133,1,0,0,8
schematic for waitforasync not taking effect?,40100,0,0,0,10
Passing dynamic value in @Input not working in web components (angular-elements),40155,1,0,0,6
Template variables does not exist if *ngIf is used,40126,0,0,0,10
TestBed.overrideComponent fails with bazel,37072,0,0,0,6
Angular Reactive forms custom form controls inconsistency in validations after conditionally recreated by angular,26792,0,0,0,5
Directives don't clear provided NG_VALIDATORS when destroyed,34538,0,0,0,2
TestBed.overrideProvider ngOnDestroy not called on fake provider,35685,0,0,0,2
Casing issue in HttpClient ,40146,1,0,0,4
ng extract-i18n duplicates `context-group` unnecessarily ,39942,0,6,0,7
Angular elements can't inherit hierarchical dependencies,40104,1,0,0,3
mat-form formControl error,39973,1,0,0,4
Chunk loading errors when using SW + lazy loaded modules,40014,0,0,0,5
ElementInjector hierarchy fails to find Parent,39581,1,0,0,3
Language service loses typing when object type is inferred from overloaded function,40086,0,0,0,1
Language service optional chaining + generics + null loses typing,40085,0,0,0,3
Using UpgradeModule in HMR mode results in multiple bootstraps,39935,1,10,1,1
"Lighthouse ""Best Practices"" issue with zone.js",39484,0,0,1,15
Cannot update @angular/common integrity checksum failed,40057,1,0,0,2
App compiles successfully but nothing is rendered after upgrade from Angular 10 to 11,40019,1,0,0,3
CORS issue while playing video from digitalocean spaces in angular pwa app,38425,0,0,0,8
AnimationPlayer.getPosition always returns zero,18891,0,0,0,11
Async validators do not output errors when sync validators do,40041,0,0,0,2
HTTP_INTERCEPTORS Angular 11,39988,0,0,0,4
Service Worker registration does not use ErrorHandler,39913,1,6,0,3
Downgraded Components are not garbage collected,39911,0,9,0,1
ComponentFactory breaking tabs/nested components,40002,1,0,0,1
document.referrer not updating on route change,39945,0,0,0,2
Import from parent directory breaks migration from 10 to 11,39778,1,4,1,2
IterableDiffers.extend is not AOT compatible,18554,0,10,0,1
Can't extend IterableDiffers,11309,0,0,0,20
bayashka1234:patch-1,40006,1,0,0,1
Single bind to multiple events in template,19675,0,1,0,19
when using router.navigate(…) with relative url  angular should warn if {relativeTo} is not set,26027,0,1,0,3
Unable to sync two inputs with a value of -0.x,39926,1,0,0,5
TypeError: Invalid attempt to spread non-iterable instance in Angular 10 with string http header,39285,1,0,0,5
ngNonBindable and ngNoForm are not in the docs,19497,0,0,1,12
R3InjectorError with services not providedIn root,39811,1,0,0,4
Literal Array trailing comma in expressions causes error,20773,0,4,0,4
Bounds attributes `[attr.xxx]` do not trigger directives,11716,0,0,0,15
No provider for Console!,39934,1,0,0,4
Several binding names to the same property,11663,0,1,0,7
RegExp literals in expressions support,21978,0,7,0,6
ComponentRef<T> onDestroyed() callback does not get called,39365,0,0,1,9
Application stays in memory even after being destroyed,22106,0,3,0,3
Language service does not infer generic type from component @Input,39629,0,0,1,6
`<object>` getSVGDocument() returns `null`,39712,0,0,0,2
Extra spaces after compilation of the interpolation expression.,39927,0,0,0,3
